State,District
Gujarat Jamnagar,Dhrol
Gujarat Jamnagar,Jamjodhpur
Gujarat Jamnagar,Jamnagar
Gujarat Jamnagar,Kalavad
Gujarat Jamnagar,Lalpur
Gujarat Junagadh,Mangrol
Gujarat Junagadh,Mendarda
Gujarat Junagadh,Vanthali
Gujarat Junagadh,Visavadar
Gujarat Junagadh Bhesan,Juni
Gujarat Kachchh,Bhachau
Gujarat Kachchh,Bhuj
Gujarat Kachchh,Lakhpat
Gujarat Kachchh,Mandvi
Gujarat Kachchh,Mundra
Gujarat Kachchh,Rapar
Gujarat Kachchh Lakhpat,Mata
Gujarat Kheda,Kapadvanj
Gujarat Mahesana,Kheralu
Gujarat Mahesana,Mahesana
Gujarat Mahesana,Satlasna
Gujarat Mahesana,Vadnagar
Gujarat Mahesana,Visnagar
Gujarat Mahesana Vijapur,Rampura
Gujarat Mahisagar,Balasinor
Gujarat Mahisagar,Lunawada
Gujarat Morbi,Halvad
Gujarat Morbi,Maliya
Gujarat Morbi,Morvi
Gujarat Narmada,Dediyapada
Gujarat Narmada,Nandod
Gujarat Narmada,Sagbara
Gujarat Navsari,Chikhali
Gujarat Navsari,Gandevi
Gujarat Navsari,Vansda
Gujarat Panch,Mahals
Gujarat Panch Mahals,Ghoghamba
Gujarat Panch Mahals,Godhra
Gujarat Panch Mahals,Halol
Gujarat Patan,Sami
Gujarat Patan,Saraswati
Gujarat Porbandar,Porbandar
Gujarat Rajkot,Dhoraji
Gujarat Rajkot,Gondal
Gujarat Rajkot,Jasdan
Gujarat Rajkot,Jetpur
Gujarat Rajkot,Kotda
Gujarat Rajkot,Rajkot
Gujarat Rajkot Kotda,Sangani
Gujarat Sabar,Kantha
Gujarat Surat,Chorasi
Gujarat Surat,Kamrej
Gujarat Surat,Mandvi
Gujarat Surat,Suratcity
Gujarat Surat,Umarpada
Gujarat Surendranagar,Chotila
Gujarat Surendranagar,Dasada
Gujarat Surendranagar,Dhrangadhra
Gujarat Surendranagar,Limbdi
Gujarat Surendranagar,Muli
Gujarat Tapi,Nizar
Gujarat Vadodara,Savli
Gujarat Vadodara,Shinor
Gujarat Vadodara,Vadodara(City
Gujarat Vadodara,Waghodia
Gujarat Valsad,Dharampur
Gujarat Valsad,Kaprada
Gujarat Valsad,Umbergaon
Haryana,Ambala
Haryana,Bhiwani
Haryana,Faridabad
Haryana,Fatehabad
Haryana,Gurugram
Haryana,Hisar
Haryana,Jhajjar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Mahendragarh
Haryana,Nuh
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Haryana,Yamunanagar
Haryana Ambala,Ambala-I
Haryana Ambala,Ambala-Ii
Haryana Ambala,Barara
Haryana Ambala,Naraingarh
Haryana Ambala,Shahzadpur
Haryana Bhiwani,Bawani
Haryana Bhiwani,Behal
Haryana Bhiwani,Bhiwani
Haryana Bhiwani,Kairu
Haryana Bhiwani,Loharu
Haryana Bhiwani,Siwani
Haryana Bhiwani,Tosham
Haryana Bhiwani Bawani,Khera
Haryana Charki,Dadri
Haryana Charki Dadri,Badhra
Haryana Charki Dadri,Charkhi
Haryana Charki Dadri,Jhojhu
Haryana Charki Dadri Charkhi,Dadri
Haryana Faridabad,Faridabad
Haryana Fatehabad,Bhattu
Haryana Fatehabad,Bhuna
Haryana Fatehabad,Fatehabad
Haryana Fatehabad,Tohana
Haryana Fatehabad Bhattu,Kalan
Haryana Gurugram,Farrukh
Haryana Gurugram,Pataudi
Haryana Gurugram Farrukh,Nagar
Haryana Hisar,Barwala
Haryana Hisar,Hansi-I
Haryana Hisar,Hansi-Ii
Haryana Hisar,Hisar-I
Haryana Hisar,Uklana
Haryana Jhajjar,Badli
Haryana Jhajjar,Beri
Haryana Jhajjar,Jhajjar
Haryana Jhajjar,Machhrauli
Haryana Jhajjar,Matannail
Haryana Jind,Jind
Haryana Jind,Julana
Haryana Jind,Narwana
Haryana Jind,Pillukhera
Haryana Jind,Safidon
Haryana Jind,Uchana
Haryana Jind,Ujhana
Haryana Kaithal,Dhand
Haryana Kaithal,Guhla
Haryana Kaithal,Kalayat
Haryana Kaithal,Rajound
Haryana Karnal,Assandh
Haryana Karnal,Chirao
Haryana Karnal,Gharaunda
Haryana Karnal,Indri
Haryana Karnal,Karnal
Haryana Karnal,Kunjpura
Haryana Karnal,Nilokheri
Haryana Karnal,Nissing
Haryana Karnal Gharaunda,(Part)
Haryana Karnal Karnal,Sugar
Haryana Kurukshetra,Babain
Haryana Kurukshetra,Ismailabad
Haryana Kurukshetra,Ladwa
Haryana Kurukshetra,Pehowa
Haryana Kurukshetra,Pipli
Haryana Kurukshetra,Shahbad
Haryana Kurukshetra,Thanesar
Haryana Kurukshetra Shahbad,Khan
Haryana Kurukshetra Thanesar,Kheri
Haryana Mahendragarh,Ateli
Haryana Mahendragarh,Kanina
Haryana Mahendragarh,Nangal
Haryana Mahendragarh,Sihma
Haryana Mahendragarh Nangal,Chaudhry
Haryana Nuh,Ferozepur
Haryana Nuh,Nuh
Haryana Nuh,Taoru
Haryana Nuh Ferozepur,Jhirka
Haryana Palwal,Badoli
Haryana Palwal,Hathin
Haryana Palwal,Palwal
Haryana Panchkula,Barwala
Haryana Panchkula,Pinjore
Haryana Panchkula,Raipur
Haryana Panchkula Barwala,Bunga
Haryana Panchkula Raipur,Rani
Haryana Panipat,Israna
Haryana Panipat,Madlauda
Haryana Panipat,Panipat
Haryana Panipat,Samalkha
Haryana Panipat,Sanauli
Haryana Panipat Sanauli,Khurd
Haryana Rewari,Jatusana
Haryana Rewari,Rewari
Haryana Rewari Khol,At
Haryana Rewari Khol At,Rewari
Haryana Rohtak,Kalanaur
Haryana Rohtak,Lakhan
Haryana Rohtak,Rohtak
Haryana Rohtak Lakhan,Majra
Haryana Sirsa,Dabwali
Haryana Sirsa,Ellenabad
Haryana Sirsa,Nathusari
Haryana Sirsa,Odhan
Haryana Sirsa,Rania
Haryana Sirsa,Sirsa
Haryana Sirsa Ellenabad,Kasi
Haryana Sirsa Ellenabad,Sri
Haryana Sirsa Nathusari,Chopta
Haryana Sonipat,Ganaur
Haryana Sonipat,Gohana
Haryana Sonipat,Mundlana
Haryana Sonipat,Rai
Haryana Sonipat,Sonipat
Haryana Yamunanagar,Partap
Haryana Yamunanagar,Sadaura
Haryana Yamunanagar,Saraswati
Haryana Yamunanagar Partap,Nagar
Haryana Yamunanagar Saraswati,Nagar
Himachal Pradesh,Bilaspur
Himachal Pradesh,Chamba
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Kullu
Himachal Pradesh,Mandi
Himachal Pradesh,Sirmaur
Himachal Pradesh,Solan
Himachal Pradesh,Una
Himachal Pradesh Bilaspur,Bilaspur
Himachal Pradesh Bilaspur,Ghumarwin
Himachal Pradesh Bilaspur Bilaspur,Sadar
Himachal Pradesh Bilaspur Shree,Naina
Himachal Pradesh Bilaspur Shree Naina,Devi
Himachal Pradesh Chamba,Banikhet
Himachal Pradesh Chamba,Bhatiyat
Himachal Pradesh Chamba,Chamba
Himachal Pradesh Chamba,Dalhousi
Himachal Pradesh Chamba,Sinhuta
Himachal Pradesh Chamba Bhatiyat,"Kharet,"
Himachal Pradesh Chamba Bhatiyat,"Mundi,"
Himachal Pradesh Chamba Bhatiyat,Naini
Himachal Pradesh Chamba Bhatiyat Dukhar,Ki
Himachal Pradesh Chamba Chamba,Gulab
Himachal Pradesh Chamba Chamba Udaipur,(
Himachal Pradesh Hamirpur,Hamirpur
Himachal Pradesh Kangra,Dehra
Himachal Pradesh Kangra,Harchakian
Himachal Pradesh Kangra,Kangra
Himachal Pradesh Kangra,Nagrota
Himachal Pradesh Kangra,Nurpur
Himachal Pradesh Kullu,Kullu
Himachal Pradesh Mandi,Mandi
Himachal Pradesh Mandi Joginder,Nagar
Himachal Pradesh Mandi Joginder Nagar,"Bhulana,"
Himachal Pradesh Mandi Joginder Nagar Rani Ki,Bawari
Himachal Pradesh Sirmaur,Kala
Himachal Pradesh Sirmaur,Nahan
Himachal Pradesh Sirmaur,Paonta
Himachal Pradesh Sirmaur Sri,Renuka
Himachal Pradesh Solan,Nalagarh
Himachal Pradesh Una,Amb
Himachal Pradesh Una,Una
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kathua
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Poonch
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Reasi
Jammu and Kashmir,Samba
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Udhampur
Jammu and Kashmir Bandipora,Aloosa
Jammu and Kashmir Baramulla,Baramulla
Jammu and Kashmir Baramulla,Narwah
Jammu and Kashmir Baramulla,Rafiabad
Jammu and Kashmir Baramulla,Tujjar
Jammu and Kashmir Baramulla Narwah,Najar
Jammu and Kashmir Baramulla Sopore,Sopore
Jammu and Kashmir Baramulla Tujjar,Sharief
Jammu and Kashmir Jammu,Akhnoor
Jammu and Kashmir Jammu,Arnia
Jammu and Kashmir Jammu,Bhalwal
Jammu and Kashmir Jammu,Bishnah
Jammu and Kashmir Jammu,Chowki
Jammu and Kashmir Jammu,Dansal
Jammu and Kashmir Jammu,Khour
Jammu and Kashmir Jammu,Mandal
Jammu and Kashmir Jammu,Marh
Jammu and Kashmir Jammu,Nagrota
Jammu and Kashmir Jammu,Pragwal
Jammu and Kashmir Jammu,R.S.Pura
Jammu and Kashmir Jammu,Satwari
Jammu and Kashmir Jammu,Suchetgarh
Jammu and Kashmir Jammu Akhnoor,Cns
Jammu and Kashmir Jammu Akhnoor,PWD
Jammu and Kashmir Jammu Bishnah,Bagh
Jammu and Kashmir Jammu Chowki,Choura
Jammu and Kashmir Jammu Dansal,Katcha
Jammu and Kashmir Jammu Miran,Sahib
Jammu and Kashmir Kathua,Dinga
Jammu and Kashmir Kathua,Hiranagar
Jammu and Kashmir Kathua,Kathua
Jammu and Kashmir Kathua,Keerian
Jammu and Kashmir Kathua,Marheen
Jammu and Kashmir Kathua,Nagri
Jammu and Kashmir Kathua,Nagrota
Jammu and Kashmir Kathua Dinga,Amb
Jammu and Kashmir Kathua Kathua,Nanke
Jammu and Kashmir Kathua Keerian,Gangyal
Jammu and Kashmir Kathua Nagrota,Gujroo
Jammu and Kashmir Kupwara,Kralpora
Jammu and Kashmir Kupwara,Ramhal
Jammu and Kashmir Kupwara,Reddi
Jammu and Kashmir Kupwara,Sogam
Jammu and Kashmir Kupwara Handwara,Handwara
Jammu and Kashmir Kupwara Kupwara,Halmathpora
Jammu and Kashmir Kupwara Reddi,Chowkibal
Jammu and Kashmir Kupwara Wavoora Mir,Mohalla
Jammu and Kashmir Poonch,Poonch
Jammu and Kashmir Pulwama,Dadsara
Jammu and Kashmir Rajouri,Kalakote
Jammu and Kashmir Rajouri,Nowshera
Jammu and Kashmir Rajouri,Qila
Jammu and Kashmir Rajouri,Siot
Jammu and Kashmir Rajouri,Sunderbani
Jammu and Kashmir Rajouri Qila,Darhal
Jammu and Kashmir Reasi,Pouni
Jammu and Kashmir Reasi,Reasi
Jammu and Kashmir Samba,Bari
Jammu and Kashmir Samba,Ghagwal
Jammu and Kashmir Samba,Purmandal
Jammu and Kashmir Samba,Rajpura
Jammu and Kashmir Samba,Ramgarh
Jammu and Kashmir Samba,Vijaypur
Jammu and Kashmir Samba Bari,Brahmana
Jammu and Kashmir Samba Ghagwal,Wss
Jammu and Kashmir Samba Samba,Bainglar
"Jammu and Kashmir Samba Samba Tube Well No 2,",SIDCO
Jammu and Kashmir Udhampur,Majalta
Jammu and Kashmir Udhampur,Tikri
Jammu and Kashmir Udhampur,Udhampur
Jammu and Kashmir Udhampur Chanunta,Dalsar
Jharkhand,Bokaro
Jharkhand,Chatra
Jharkhand,Deoghar
Jharkhand,Dhanbad
Jharkhand,Dumka
Jharkhand,Garhwa
Jharkhand,Giridih
Jharkhand,Godda
Jharkhand,Gumla
Jharkhand,Hazaribagh
Jharkhand,Jamtara
Jharkhand,Khunti
Jharkhand,Koderma
Jharkhand,Latehar
Jharkhand,Lohardaga
Jharkhand,Pakur
Jharkhand,Palamu
Jharkhand,Ramgarh
Jharkhand,Ranchi
Jharkhand,Sahebganj
Jharkhand,Simdega
Jharkhand Bokaro,Chas
Jharkhand Bokaro,Jaridih
Jharkhand Chatra,Kunda
Jharkhand Chatra,Tandwa
Jharkhand Chatra Shaligram Ram,NarayanpBuisrh
Jharkhand Chatra Shaligram Ram NarayanpLouhr,sAinliagsh
Jharkhand Dhanbad,Dhanbad
Jharkhand Dhanbad,Purvi
Jharkhand Dhanbad Baghmara,Kandra
Jharkhand Dhanbad Nirsa,Sindri
Jharkhand East,Singhbum
Jharkhand East Singhbum,Bahragora
Jharkhand East Singhbum Golmuri,Cum
Jharkhand East Singhbum Golmuri Cum,Jugsalai
Jharkhand Garhwa,Nagar
Jharkhand Garhwa Nagar,Untari
Jharkhand Giridih,Bengabad
Jharkhand Godda,Mahagama
Jharkhand Godda,Poraiyahat
Jharkhand Godda,Sundarpahari
Jharkhand Gumla Albert,Ekka
Jharkhand Hazaribagh,Dadi
Jharkhand Hazaribagh,Sadar
Jharkhand Jamtara,Karmatanr
Jharkhand Jamtara,Nala
Jharkhand Koderma,Chandwara
Jharkhand Koderma,Koderma
Jharkhand Palamu,Bishrampur
Jharkhand Palamu,Chainpur
Jharkhand Palamu,Chhatarpur
Jharkhand Palamu,Medininagar
Jharkhand Palamu,Mohamadganj
Jharkhand Palamu,Nawa
Jharkhand Palamu,Pandu
Jharkhand Ramgarh,Mandu
Jharkhand Ramgarh,Ramgarh
Jharkhand Ranchi,Bero
Jharkhand Ranchi,Bundu
Jharkhand Ranchi,Chanho
Jharkhand Ranchi,Kanke
Jharkhand Ranchi,Namkum
Jharkhand Ranchi Bero Hanuman,Mandir
Jharkhand Ranchi Kanke,Kanke
Jharkhand Ranchi Namkum,Bridge
Jharkhand Sahebganj,Barharwa
Jharkhand Sahebganj,Borio
Jharkhand Sahebganj,Rajmahal
Jharkhand Saraikela,Kharsawan
Jharkhand Simdega,Jaldega
Jharkhand Simdega,Thethaitanger
Jharkhand West,Singhbhum
Jharkhand West Singhbhum,Goelkera
Jharkhand West Singhbhum,Noamundi
Karnataka,Bagalkote
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bidar
Karnataka,Chamarajanagara
Karnataka,Chikkaballapura
Karnataka,Chikkamagaluru
Karnataka,Chitradurga
Karnataka,Davangere
Karnataka,Dharwad
Karnataka,Gadag
Karnataka,Hassan
Karnataka,Haveri
Karnataka,Kalaburagi
Karnataka,Kodagu
Karnataka,Kolar
Karnataka,Koppal
Karnataka,Mandya
Karnataka,Mysuru
Karnataka,Raichur
Karnataka,Ramanagara
Karnataka,Shivamogga
Karnataka,Tumakuru
Karnataka,Udupi
Karnataka,Vijayanagar
Karnataka,Vijayapura
Karnataka,Yadgir
Karnataka Bagalkote,Badami
Karnataka Bagalkote,Bagalkot
Karnataka Bagalkote,Bilagi
Karnataka Bagalkote,Guledagudda
Karnataka Bagalkote,Hungund
Karnataka Bagalkote,Ilkal
Karnataka Bagalkote,Jamkhandi
Karnataka Bagalkote,Rabakavi
Karnataka Bagalkote Badami,Badami
Karnataka Bagalkote Rabakavi,Banahatti
Karnataka Ballari,Sandur
Karnataka Ballari,Siruguppa
Karnataka Ballari Sandur Sri,Ram
Karnataka Belagavi,Belagavi
Karnataka Belagavi,Bylahongal
Karnataka Belagavi,Chikodi
Karnataka Belagavi,Gokak
Karnataka Belagavi,Hukeri
Karnataka Belagavi,Khanapur
Karnataka Belagavi,Nippani
Karnataka Belagavi,Raybag
Karnataka Belagavi,Savadathi
Karnataka Belagavi Athni,Athani
Karnataka Bengaluru,Rural
Karnataka Bengaluru,Urban
Karnataka Bengaluru Rural Dodballapur,Subramanya
Karnataka Bengaluru Rural Hoskote,Rudrapura
Karnataka Bengaluru Urban,Anekal
Karnataka Bengaluru Urban,Bangalore
Karnataka Bengaluru Urban,Bengaluru
Karnataka Bengaluru Urban Bangalore,City
Karnataka Bengaluru Urban Bangalore City Indian,Institute
Karnataka Bengaluru Urban Bengaluru South Bang,Uni
Karnataka Bidar,Aurad
Karnataka Bidar,Bhalki
Karnataka Bidar,Bidar
Karnataka Bidar,Humnabad
Karnataka Bidar,Kamalanagara
Karnataka Bidar Basavakalyan,Basavakalyan
Karnataka Chamarajanagara,Chamarajanagar
Karnataka Chamarajanagara,Gundlupet
Karnataka Chamarajanagara,Hanuru
Karnataka Chikkaballapura,Gudibanda
Karnataka Chikkamagaluru,Chikkamagaluru
Karnataka Chikkamagaluru,Kadur
Karnataka Chikkamagaluru,Kalasa
Karnataka Chikkamagaluru,Koppa
Karnataka Chikkamagaluru,Mudigere
Karnataka Chikkamagaluru,Narasimharajapura
Karnataka Chikkamagaluru,Sringeri
Karnataka Chikkamagaluru,Tarikere
Karnataka Chitradurga,Chitradurga
Karnataka Chitradurga,Hiriyur
Karnataka Chitradurga,Hosdurga
Karnataka Chitradurga,Molakalmuru
Karnataka Dakshina,Kannada
Karnataka Dakshina Kannada,Bantval
Karnataka Dakshina Kannada,Beltangadi
Karnataka Dakshina Kannada,Kadaba
Karnataka Dakshina Kannada,Mangaluru
Karnataka Dakshina Kannada,Mudubidare
Karnataka Dakshina Kannada,Puttur
Karnataka Davangere,Channagiri
Karnataka Davangere,Davanagere
Karnataka Davangere,Harihara
Karnataka Davangere,Jagalur
Karnataka Dharwad,Annigeri
Karnataka Dharwad,Dharwad
Karnataka Dharwad,Kundgol
Karnataka Gadag,Gadag
Karnataka Gadag,Naragund
Karnataka Gadag,Ron
Karnataka Gadag,Shirahatti
Karnataka Gadag Laxmeshwar,Lakshmeshwar
Karnataka Gadag Mundaragi Mundargi,(
Karnataka Hassan,Alur
Karnataka Hassan,Arkalgud
Karnataka Hassan,Arsikere
Karnataka Hassan,Channarayapatna
Karnataka Hassan,Hassan
Karnataka Hassan,Holenarsipur
Karnataka Hassan,Sakaleshpur
Karnataka Haveri,Byadgi
Karnataka Haveri,Ranebennur
Karnataka Haveri Ranebennur,Hosa
Karnataka Kalaburagi,Afzalpur
Karnataka Kalaburagi,Aland
Karnataka Kalaburagi,Chincholi
Karnataka Kalaburagi,Chitapur
Karnataka Kalaburagi,Jevargi
Karnataka Kalaburagi,Kalaburagi
Karnataka Kalaburagi,Kamalapur
Karnataka Kalaburagi,Sedam
Karnataka Kodagu,Kushalanagar
Karnataka Kodagu,Madikeri
Karnataka Kodagu,Ponnampet
Karnataka Kodagu,Somvarpet
Karnataka Kodagu,Virajpet
Karnataka Kodagu Kushalanagar,Ketagal
Karnataka Kodagu Madikeri,Majiyalla
Karnataka Kolar,Kolar
Karnataka Kolar K,G
Karnataka Koppal,Yelburga
Karnataka Mandya,Maddur
Karnataka Mandya,Nagamangala
Karnataka Mandya,Pandavapura
Karnataka Mandya,Shrirangapattana
Karnataka Mandya Pandavapura,Tirumala
Karnataka Mysuru,Hunsur
Karnataka Mysuru,Piriyapatna
Karnataka Raichur,Devadurga
Karnataka Raichur,Lingsugur
Karnataka Raichur,Manvi
Karnataka Raichur,Maski
Karnataka Raichur,Raichur
Karnataka Raichur Lingsugur,Devarabupur
Karnataka Raichur Lingsugur,Narashima
Karnataka Ramanagara,Kanakapura
Karnataka Ramanagara,Magadi
Karnataka Shivamogga,Bhadravati
Karnataka Shivamogga,Sagar
Karnataka Shivamogga,Shikarpur
Karnataka Shivamogga,Tirthahalli
Karnataka Tumakuru,Chiknayakanhalli
Karnataka Tumakuru,Gubbi
Karnataka Tumakuru,Kunigal
Karnataka Tumakuru,Sira
Karnataka Tumakuru,Tiptur
Karnataka Tumakuru,Tumakuru
Karnataka Tumakuru Chiknayakanhalli,Kuppur
Karnataka Udupi,Hebri
Karnataka Udupi,Kapu
Karnataka Udupi,Karkal
Karnataka Udupi,Kundapura
Karnataka Udupi Udupi,Jodu
Karnataka Uttara,Kannada
Karnataka Uttara Kannada,Karwar
Karnataka Uttara Kannada,Sirsi
Karnataka Uttara Kannada Honavar,Gerusoppa
Karnataka Vijayanagar,Hadagalli
Karnataka Vijayanagar,Harappanahalli
Karnataka Vijayanagar,Hosapete
Karnataka Vijayapura,Almel
Karnataka Vijayapura,Basavana
Karnataka Vijayapura,Devara
Karnataka Vijayapura,Muddebihal
Karnataka Vijayapura,Sindagi
Karnataka Vijayapura,Vijayapura
Karnataka Vijayapura Basavana,Bagewadi
Karnataka Vijayapura Devara,Hipparagi
Karnataka Yadgir,Hunasagi
Karnataka Yadgir,Shahapur
Karnataka Yadgir,Wadagera
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kannur
Kerala,Kasaragod
Kerala,Kollam
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Pathanamthitta
Kerala,Thiruvananthapuram
Kerala,Thrissur
Kerala,Wayanad
Kerala Alappuzha,Ambalappuzha
Kerala Alappuzha,Aryad
Kerala Alappuzha,Harippad
Kerala Alappuzha,Kanjikkuzhy
Kerala Alappuzha,Mavelikkara
Kerala Alappuzha,Pattanakkad
Kerala Ernakulam,Alangad
Kerala Ernakulam,Edappally
Kerala Ernakulam,Pampakuda
Kerala Ernakulam,Parakkadav
Kerala Ernakulam,Paravur
Kerala Idukki,Idukki
Kerala Idukki Devikulam,Kannan
Kerala Kasaragod,Kanhangad
Kerala Kasaragod,Kasargod
Kerala Kasaragod,Manjeshwar
Kerala Kasaragod,Parappa
Kerala Kollam,Chavara
Kerala Kottayam,Ettumanoor
Kerala Kottayam,Pallom
Kerala Kottayam,Uzhavoor
Kerala Malappuram,Kondotty
Kerala Malappuram,Tanur
Kerala Malappuram,Wandoor
Kerala Palakkad,Chittur
Kerala Palakkad,Kollengode
Kerala Palakkad,Palakkad
Kerala Palakkad Palakkad,Noorani
Kerala Pathanamthitta,Ranni
Kerala Thiruvananthapuram,Varkala
Kerala Thrissur,Kodakara
Kerala Thrissur,Mala
Kerala Thrissur,Ollukkara
Kerala Thrissur,Puzhakkal
Kerala Thrissur Chalakkudy Kanjirapally,(Dream
Kerala Thrissur Chowannur,Eyyal
Kerala Wayanad,Sulthan
Madhya Pradesh,Agar-Malwa
Madhya Pradesh,Alirajpur
Madhya Pradesh,Anuppur
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Bhind
Madhya Pradesh,Bhopal
Madhya Pradesh,Burhanpur
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Chhindwara
Madhya Pradesh,Damoh
Madhya Pradesh,Datia
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Dindori
Madhya Pradesh,Guna
Madhya Pradesh,Gwalior
Madhya Pradesh,Harda
Madhya Pradesh,Indore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Jhabua
Madhya Pradesh,Katni
Madhya Pradesh,Maihar
Madhya Pradesh,Mandla
Madhya Pradesh,Mandsaur
Madhya Pradesh,Mauganj
Madhya Pradesh,Morena
Madhya Pradesh,Narmadapuram
Madhya Pradesh,Narsimhapur
Madhya Pradesh,Neemuch
Madhya Pradesh,Niwari
Madhya Pradesh,Pandhurna
Madhya Pradesh,Panna
Madhya Pradesh,Raisen
Madhya Pradesh,Rajgarh
Madhya Pradesh,Ratlam
Madhya Pradesh,Rewa
Madhya Pradesh,Sagar
Madhya Pradesh,Satna
Madhya Pradesh,Sehore
Madhya Pradesh,Seoni
Madhya Pradesh,Shahdol
Madhya Pradesh,Shajapur
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Sidhi
Madhya Pradesh,Singrauli
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Ujjain
Madhya Pradesh,Umaria
Madhya Pradesh,Vidisha
Madhya Pradesh Agar-Malwa,Agar
Madhya Pradesh Agar-Malwa,Susner
Madhya Pradesh Alirajpur,Udaigarh
Madhya Pradesh Anuppur,Jaithari
Madhya Pradesh Anuppur,Kotma
Madhya Pradesh Anuppur,Pushprajgarh
Madhya Pradesh Ashoknagar,Ashoknagar
Madhya Pradesh Balaghat,Lalbarra
Madhya Pradesh Betul,Athner
Madhya Pradesh Betul,Bhainsdehi
Madhya Pradesh Betul,Chicholi
Madhya Pradesh Betul,Prabhat
Madhya Pradesh Betul Prabhat,Pattan
Madhya Pradesh Bhopal,Berasia
Madhya Pradesh Bhopal,Phanda
Madhya Pradesh Bhopal Phanda,Lal
Madhya Pradesh Bhopal Phanda,Patel
Madhya Pradesh Burhanpur,Khaknar
Madhya Pradesh Chhatarpur,Bada
Madhya Pradesh Chhatarpur,Bijawar
Madhya Pradesh Chhatarpur,Buxwaha
Madhya Pradesh Chhatarpur,Chhatarpur
Madhya Pradesh Chhatarpur,Lavkush
Madhya Pradesh Chhatarpur,Nowgong
Madhya Pradesh Chhindwara,Chaurai
Madhya Pradesh Chhindwara,Chhindwara
Madhya Pradesh Chhindwara,Harrai
Madhya Pradesh Chhindwara,Mohkhed
Madhya Pradesh Damoh,Batiyagarh
Madhya Pradesh Damoh,Patera
Madhya Pradesh Damoh,Tendukheda
Madhya Pradesh Datia,Seondha
Madhya Pradesh Dewas,Bagli
Madhya Pradesh Dewas,Kannod
Madhya Pradesh Dewas,Khategaon
Madhya Pradesh Dewas,Tonk
Madhya Pradesh Dhar,Badnawar
Madhya Pradesh Dhar,Bagh
Madhya Pradesh Dhar,Gandhwani
Madhya Pradesh Dhar,Nalchha
Madhya Pradesh Dindori,Amarpur
Madhya Pradesh Dindori,Bajag
Madhya Pradesh Dindori,Shahpura
Madhya Pradesh Guna,Raghogarh
Madhya Pradesh Guna Raghogarh,Motipur
Madhya Pradesh Gwalior,Ghatigaon
Madhya Pradesh Gwalior,Morar
Madhya Pradesh Gwalior Morar,Bajrang
Madhya Pradesh Harda,Khirkiya
Madhya Pradesh Indore,Indore
Madhya Pradesh Indore Sanwer,Khsipra
Madhya Pradesh Jabalpur,Jabalpur
Madhya Pradesh Jhabua,Jhabua
Madhya Pradesh Jhabua,Rama
Madhya Pradesh Jhabua Ranapur,Ranpur
Madhya Pradesh Katni,Badwara
Madhya Pradesh Khandwa (East,Nimar)
Madhya Pradesh Khandwa (East Nimar),Chhaigaon
Madhya Pradesh Khandwa (East Nimar),Harsud
Madhya Pradesh Khandwa (East Nimar),Khalwa
Madhya Pradesh Khandwa (East Nimar),Khandwa
Madhya Pradesh Khandwa (East Nimar),Pandhana
Madhya Pradesh Khandwa (East Nimar),Punasa
Madhya Pradesh Khargone (West,Nimar)
Madhya Pradesh Khargone (West Nimar),Barwah
Madhya Pradesh Maihar,Amarpatan
Madhya Pradesh Mandla,Bijadandi
Madhya Pradesh Mandla,Ghughri
Madhya Pradesh Mandla,Mandla
Madhya Pradesh Mandla,Mawai
Madhya Pradesh Mandla,Narayanganj
Madhya Pradesh Mandla Niwas,Harisinggaouri
Madhya Pradesh Mandsaur,Sitamau
Madhya Pradesh Morena,Kailaras
Madhya Pradesh Morena,Morena
Madhya Pradesh Narmadapuram,Makhan
Madhya Pradesh Narmadapuram,Seoni
Madhya Pradesh Narmadapuram,Sohagpur
Madhya Pradesh Narsimhapur,Kareli
Madhya Pradesh Narsimhapur,Sainkheda
Madhya Pradesh Neemuch,Manasa
Madhya Pradesh Neemuch,Neemuch
Madhya Pradesh Neemuch Jawad,Dadoli
Madhya Pradesh Neemuch Neemuch,Ghanta
Madhya Pradesh Niwari,Prithvipur
